brand,model,reason
Ray-Ban,Wayfarer Ease Optics RB4340V,no usable image downloaded
Ray-Ban,Clubmaster Optics RX5154,no usable image downloaded
Ray-Ban,Round Metal Optics RX3447V,no usable image downloaded
Ray-Ban,Aviator Optics RX6489,no usable image downloaded
Ray-Ban,Hexagonal Optics RX6448,no usable image downloaded
Persol,PO3007V,no usable image downloaded
Persol,PO3092V,no usable image downloaded
Persol,PO5004VT,no usable image downloaded
Persol,PO3272V,no usable image downloaded
Oliver Peoples,Gregory Peck OV5186,no usable image downloaded
Oliver Peoples,O'Malley OV5183,no usable image downloaded
Oliver Peoples,Finley Esq OV5298U,no usable image downloaded
Oliver Peoples,Fairmont OV5219,no usable image downloaded
Moscot,Lemtosh,no usable image downloaded
Moscot,Miltzen,no usable image downloaded
Moscot,Zev,no usable image downloaded
Moscot,Dahven,no usable image downloaded
Warby Parker,Haskell,no usable image downloaded
Warby Parker,Durand,no usable image downloaded
Warby Parker,Percey,no usable image downloaded
Warby Parker,Wilkie,no usable image downloaded
JINS,Airframe Hingeless,no usable image downloaded
JINS,Classic Bold,no usable image downloaded
JINS,Combination Titanium,no usable image downloaded
Zoff,Zoff SMART Skinny,no usable image downloaded
Zoff,Zoff CLASSIC,no usable image downloaded
Zoff,United Arrows eyeglasses,no usable image downloaded
Ace & Tate,Neil,no usable image downloaded
Ace & Tate,Pierce,no usable image downloaded
Ace & Tate,Saul,no usable image downloaded
Ace & Tate,Amy,no usable image downloaded
MYKITA,LITE Helmut,no usable image downloaded
MYKITA,Mylon Marius,no usable image downloaded
MYKITA,No1 Achille,no usable image downloaded
LINDBERG,Air Titanium Rim,no usable image downloaded
LINDBERG,Strip Titanium,no usable image downloaded
LINDBERG,Acetanium,no usable image downloaded
Silhouette,Titan Minimal Art,no usable image downloaded
Silhouette,Lite Spirit,no usable image downloaded
Silhouette,Momentum Aurum,no usable image downloaded
ic! berlin,The Lone Wolf,no usable image downloaded
ic! berlin,Tijn,no usable image downloaded
ic! berlin,Ralphi,no usable image downloaded
Tom Ford,FT5401,no usable image downloaded
Tom Ford,FT5629-B,no usable image downloaded
Tom Ford,FT5835-B,no usable image downloaded
Gucci,GG0027O,no usable image downloaded
Gucci,GG0459O,no usable image downloaded
Gucci,GG0958O,no usable image downloaded
Dior,DiorBlackSuitO R1I,no usable image downloaded
Dior,CD Diamond O S6I,no usable image downloaded
Celine,CL50049I,no usable image downloaded
Celine,CL50105I,no usable image downloaded
Cartier,CT0048O,no usable image downloaded
Cartier,CT0292O,no usable image downloaded
