index,brand,model,form_note,image_path,thumb_path,image_url,page_url,source_domain
6,Oakley,Holbrook RX,sport square acetate,images/06_oakley_holbrook_rx.jpg,thumbs/06_oakley_holbrook_rx.jpg,https://assets2.oakley.com/cdn-record-files-pi/468817a6-9159-4d56-9666-b0c4004f18da/96dde08c-a2a0-4ddf-b419-b18701716b36/0OO9437__943701__P21__shad__qt.png,https://www.oakley.com/en-pt/product/W0OO9437,www.oakley.com
7,Oakley,Pitchman R,round mixed material,images/07_oakley_pitchman_r.jpg,thumbs/07_oakley_pitchman_r.jpg,https://assets2.oakley.com/cdn-record-files-pi/382e1c24-12d0-4a12-adf5-b2120178478f/f99bf437-5fb5-4ccb-87c2-b21201785226/0OO9510__951004__P21__shad__al3.png?impolicy=OO_ratio&width=2000,https://www.oakley.com/en-us/product/W0OO9510,www.oakley.com
8,Oakley,Centerboard,soft rectangular,images/08_oakley_centerboard.jpg,thumbs/08_oakley_centerboard.jpg,https://assets2.oakley.com/cdn-record-files-pi/34337597-34d3-4af9-83fc-b2fa00fe6e1f/c91e3628-6c34-4f82-9c4f-b34500a8818b/0OW8001__800104__P21__noshad__adv2.png?impolicy=OO_ratio&width=3000,https://www.oakley.com/en-gb/product/W0OW8001,www.oakley.com
9,Oakley,Socket 5.5,semi rimless performance,images/09_oakley_socket_5_5.jpg,thumbs/09_oakley_socket_5_5.jpg,https://assets2.oakley.com/cdn-record-files-pi/25281d3b-f5fe-49e9-bd35-af32013a913d/db5f4ea0-2da9-47a9-80ca-af32013a9561/0OO9242__924202__P21__shad__qt.png?impolicy=OO_ratio&width=2000,https://www.oakley.com/en-us/product/W0OO9242,www.oakley.com
10,Oakley,Plank 2.0,rectangular sport,images/10_oakley_plank_2_0.jpg,thumbs/10_oakley_plank_2_0.jpg,https://assets2.oakley.com/cdn-record-files-pi/34337597-34d3-4af9-83fc-b2fa00fe6e1f/d517ce0e-aed5-4309-bffd-b2fa00fe78fd/0OW8001__800104__P21__shad__lt.png?impolicy=OO_ratio&width=2000,https://www.oakley.com/en-au/product/W0OW8001,www.oakley.com
27,Gentle Monster,Zin 01,minimal square,images/27_gentle_monster_zin_01.jpg,thumbs/27_gentle_monster_zin_01.jpg,https://gm-prd-resource.gentlemonster.com/contents/collection/29542cb6-da5c-4790-8c23-17d08c1c82f4/5.2024opticalcollection_campaignkv_pcmo_1.jpg,https://www.gentlemonster.com/cn/zh-CN/item/SDFZSB9VJ282/ojo01,www.gentlemonster.com
28,Gentle Monster,Alio GD1,combination square,images/28_gentle_monster_alio_gd1.jpg,thumbs/28_gentle_monster_alio_gd1.jpg,https://gm-prd-resource.gentlemonster.com/assets/stories/bold/image/campaign-carousel1.jpg,https://www.gentlemonster.com/cn/zh-CN/stories/2025-bold-collection,www.gentlemonster.com
29,Gentle Monster,Jade 01,bold rectangular,images/29_gentle_monster_jade_01.jpg,thumbs/29_gentle_monster_jade_01.jpg,https://gm-prd-resource.gentlemonster.com/contents/collection/cb4c8c14-b204-479f-850d-b2ab03ed25cd/1_CAMPAIGN_IMAGE_KARINA_LOGO_MILKWAY02P.jpg,https://www.gentlemonster.com/us/en/item/MZ8998WXRENN/matiny01,www.gentlemonster.com
30,Gentle Monster,Mondo 01,oversized square,images/30_gentle_monster_mondo_01.jpg,thumbs/30_gentle_monster_mondo_01.jpg,https://gm-prd-resource.gentlemonster.com/assets/common/og/mm3_open_graph.jpg,https://www.gentlemonster.com/kr/ja,www.gentlemonster.com
56,Prada,PR 17WV,bold square acetate,images/56_prada_pr_17wv.jpg,thumbs/56_prada_pr_17wv.jpg,https://www.prada.com/content/dam/pradanux/e-commerce/2025/03/SS25_update/Essentials/View_all/3/Mosaic_landscape_MB.jpg,https://www.prada.com/us/en/womens/essentials/c/10100US,www.prada.com
57,Prada,PR A01V,modern rectangular,images/57_prada_pr_a01v.jpg,thumbs/57_prada_pr_a01v.jpg,https://www.prada.com/content/dam/pradanux/pradasphere/2023/fragrances/08/update_paradoxe/mosaic/Card_2_MB.jpg,https://www.prada.com/mc/en/pradasphere/fragrances/paradoxe.html,www.prada.com
58,Prada,PR 16MV,minimal rectangle,images/58_prada_pr_16mv.jpg,thumbs/58_prada_pr_16mv.jpg,https://www.prada.com/content/dam/pradanux/e-commerce/2025/03/SS25_update/Essentials/View_all/5/Mosaic_landscape_MB.jpg,https://www.prada.com/us/en/womens/essentials/c/10100US,www.prada.com
