index,brand,model,image_absolute_path,source_url
1,Oakley,Holbrook Low Bridge Fit OX8100F,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\001_oakley_holbrook_low_bridge_fit_ox8100f.jpg,https://www.oakley.com/en-us/product/W0OX8100F?variant=888392603012
2,Gentle Monster,Zin 01,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\002_gentle_monster_zin_01.jpg,https://www.gentlemonster.com/kr/ja/item/ZYYE799SURVC/zin01
3,Gentle Monster,Alio GD1,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\003_gentle_monster_alio_gd1.jpg,https://www.gentlemonster.com/kr/ja/item/194RVEG6I7XGB/aliogd1
4,MOSCOT,Lemtosh,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\004_moscot_lemtosh.jpg,https://moscot.com/products/lemtosh
5,MOSCOT,Lemtosh Limited Edition Blue Fade,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\005_moscot_lemtosh_limited_edition_blue_fade.jpg,https://moscot.com/products/lemtosh-limited-edition-blue-fade
6,MOSCOT,Dolt,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\006_moscot_dolt.jpg,https://moscot.com/products/dolt
7,MOSCOT,Miltzen,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\007_moscot_miltzen.jpg,https://moscot.com/products/miltzen
8,MOSCOT,Arthur,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\008_moscot_arthur.jpg,https://moscot.com/products/arthur
9,MOSCOT,Dahven,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\009_moscot_dahven.jpg,https://moscot.com/products/dahven
10,MOSCOT,Zissel,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\010_moscot_zissel.jpg,https://moscot.com/products/zissel
11,MOSCOT,Frankie,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\011_moscot_frankie.jpg,https://moscot.com/products/frankie
12,MOSCOT,Nebb,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\012_moscot_nebb.jpg,https://moscot.com/products/nebb
13,MOSCOT,Plotz,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\013_moscot_plotz.jpg,https://moscot.com/products/plotz
14,MOSCOT,Zev,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\014_moscot_zev.jpg,https://moscot.com/products/zev
15,MOSCOT,Bjorn,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\015_moscot_bjorn.jpg,https://moscot.com/products/bjorn
16,MOSCOT,Jared,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\016_moscot_jared.jpg,https://moscot.com/products/jared
17,MOSCOT,Aygen,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\017_moscot_aygen.jpg,https://moscot.com/products/aygen
18,Ray-Ban,Ray Ban Meta Blayzer Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\018_ray_ban_ray_ban_meta_blayzer_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/ray-ban-meta-blayzer-optics/8056262945056?rxcnav=treatments
19,Ray-Ban,Ray Ban Meta Scriber Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\019_ray_ban_ray_ban_meta_scriber_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/ray-ban-meta-scriber-optics/8056262945315?rxcnav=treatments
20,Ray-Ban,Ray Ban Meta Wayfarer,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\020_ray_ban_ray_ban_meta_wayfarer.jpg,https://www.opsm.com.au/ray-ban-meta/ray-ban-meta-wayfarer/8056262721339
21,Ray-Ban,Rb3958V Elon Optics Limited Edition,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\021_ray_ban_rb3958v_elon_optics_limited_edition.jpg,https://www.opsm.com.au/glasses/ray-ban/rb3958v-elon-optics-limited-edition/8056597684224
22,Ray-Ban,Rb3698Vm Scuderia Ferrari Collection,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\022_ray_ban_rb3698vm_scuderia_ferrari_collection.jpg,https://www.opsm.com.au/glasses/ray-ban/rb3698vm-scuderia-ferrari-collection/8056597645355
23,Ray-Ban,Rb5435 Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\023_ray_ban_rb5435_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb5435-optics/8056262269855
24,Ray-Ban,Rb4378V Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\024_ray_ban_rb4378v_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb4378v-optics/7895653323568
25,Ray-Ban,Rb3447Vm Scuderia Ferrari Collection,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\025_ray_ban_rb3447vm_scuderia_ferrari_collection.jpg,https://www.opsm.com.au/glasses/ray-ban/rb3447vm-scuderia-ferrari-collection/8056597045742
26,Ray-Ban,Rb3716Vm Clubmaster Metal Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\026_ray_ban_rb3716vm_clubmaster_metal_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb3716vm-clubmaster-metal-optics/8056597061469
27,Ray-Ban,Rb7140 Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\027_ray_ban_rb7140_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb7140-optics/8053672822588
28,Ray-Ban,Rb5398 Hawkeye Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\028_ray_ban_rb5398_hawkeye_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb5398-hawkeye-optics/8056597586382
29,Ray-Ban,Rb3637V New Round Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\029_ray_ban_rb3637v_new_round_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb3637v-new-round-optics/8056597641197
30,Ray-Ban,Rb5499 Lady Burbank Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\030_ray_ban_rb5499_lady_burbank_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb5499-lady-burbank-optics/8056597549479
31,Ray-Ban,Rb5428F Rb5428 Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\031_ray_ban_rb5428f_rb5428_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb5428f-rb5428-optics/8056597729468
32,Ray-Ban,Rb7216 New Clubmaster Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\032_ray_ban_rb7216_new_clubmaster_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb7216-new-clubmaster-optics/8056262098486
33,Ray-Ban,Rb7213M Optics Scuderia Ferrari Collection,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\033_ray_ban_rb7213m_optics_scuderia_ferrari_collection.jpg,https://www.opsm.com.au/glasses/ray-ban/rb7213m-optics-scuderia-ferrari-collection/8056597762304
34,Ray-Ban,Rb1971V Square 1971 Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\034_ray_ban_rb1971v_square_1971_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb1971v-square-1971-optics/8056597075626
35,Ray-Ban,Rb7330F Zena Optics Bio Based,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\035_ray_ban_rb7330f_zena_optics_bio_based.jpg,https://www.opsm.com.au/glasses/ray-ban/rb7330f-zena-optics-bio-based/8056262049686
36,Ray-Ban,Rb5383 Burbank Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\036_ray_ban_rb5383_burbank_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb5383-burbank-optics/8056597124034
37,Ray-Ban,Rb3447V Round Metal Optics,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\037_ray_ban_rb3447v_round_metal_optics.jpg,https://www.opsm.com.au/glasses/ray-ban/rb3447v-round-metal-optics/7895653330320
38,Persol,PO3189V,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\038_persol_po3189v.jpg,https://www.opsm.com.au/glasses/persol/po3189v/8053672825497
39,Persol,PO3143V,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\039_persol_po3143v.jpg,https://www.opsm.com.au/glasses/persol/po3143v/8053672593907
40,Persol,PO3275V,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\040_persol_po3275v.jpg,https://www.opsm.com.au/glasses/persol/po3275v/8056597529082
41,Persol,PO3292V,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\041_persol_po3292v.jpg,https://www.opsm.com.au/glasses/persol/po3292v/8056597593656
42,Persol,Po3387V Pier,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300\images\042_persol_po3387v_pier.jpg,https://www.opsm.com.au/glasses/persol/po3387v-pier/8056262553749
