brand,query,image_url,page_url,reason
MYKITA,,,,saved 0/8
Silhouette,,,,saved 0/6
ic! berlin,,,,saved 0/6
DITA,,,,saved 0/8
Matsuda,,,,saved 0/8
Masunaga,,,,saved 0/8
Jacques Marie Mage,,,,saved 0/8
Warby Parker,,,,saved 0/8
PROJEKT PRODUKT,,,,saved 0/8
MANOMOS,,,,saved 0/6
CARIN,,,,saved 0/6
LASH,,,,saved 0/6
STEALER,,,,saved 0/6
MUZIK,,,,saved 0/6
JINS,,,,saved 0/8
Zoff,,,,saved 0/8
OWNDAYS,,,,saved 0/8
Yellows Plus,,,,saved 0/6
KameManNen,,,,saved 0/6
Ray-Ban Meta,,,,saved 0/4
XREAL,,,,saved 0/4
Even Realities,,,,saved 0/4
Brilliant Labs,,,,saved 0/3
Solos,,,,saved 0/4
