Brand,Count,FolderPath
Armani Exchange,14,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Armani Exchange
Balenciaga,5,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Balenciaga
Bottega Veneta,5,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Bottega Veneta
Burberry,18,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Burberry
Cartier,5,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Cartier
Coach,14,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Coach
Cutler and Gross,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Cutler and Gross
DITA,8,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\DITA
EYEVAN,8,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\EYEVAN
Emporio Armani,11,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Emporio Armani
Etnia Barcelona,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Etnia Barcelona
Garrett Leight,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Garrett Leight
Gentle Monster,14,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Gentle Monster
Giorgio Armani,16,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Giorgio Armani
Gucci,5,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Gucci
Jacques Marie Mage,8,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Jacques Marie Mage
Jimmy Choo,18,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Jimmy Choo
KameManNen,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\KameManNen
L.G.R,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\L.G.R
LASH,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\LASH
LINDBERG,8,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\LINDBERG
MOSCOT,16,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\MOSCOT
MYKITA,8,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\MYKITA
Matsuda,8,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Matsuda
Michael Kors,18,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Michael Kors
Miu Miu,18,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Miu Miu
Moncler,14,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Moncler
Oakley,14,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Oakley
Oliver Peoples,15,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Oliver Peoples
PROJEKT PRODUKT,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\PROJEKT PRODUKT
Persol,13,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Persol
Polo Ralph Lauren,16,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Polo Ralph Lauren
Prada,18,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Prada
Prada Linea Rossa,18,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Prada Linea Rossa
Ralph,13,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Ralph
Ray-Ban,20,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Ray-Ban
Saint Laurent,5,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Saint Laurent
Silhouette,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Silhouette
Tom Ford,5,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Tom Ford
Versace,14,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Versace
Warby Parker,8,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\Warby Parker
ic! berlin,6,C:\Users\user\Documents\Codex\2026-06-23\new-chat\outputs\eyewear_form_research_300_by_brand\ic! berlin
