index,brand,model,form_note,image_path,thumb_path,image_url,page_url,source_domain
1,Ray-Ban,Wayfarer Ease Optics RB4340V,classic thick square acetate,images/01_ray_ban_wayfarer_ease_optics_rb4340v.jpg,thumbs/01_ray_ban_wayfarer_ease_optics_rb4340v.jpg,https://assets2.opsm.com/cdn-record-files-pi/e1c054ac-1a00-4bcd-8570-a72b00a745c8/832cff83-4d58-4abf-8e7f-acfe00554206/0RX4340V__2000__STD__shad__qt.png?impolicy=OP_PDP,https://www.ray-ban.com/usa/eyeglasses/RX4340V%20UNISEX%20wayfarer%20ease%20optics-black/8053672808469,www.ray-ban.com
2,Ray-Ban,Clubmaster Optics RX5154,browline combination,images/02_ray_ban_clubmaster_optics_rx5154.jpg,thumbs/02_ray_ban_clubmaster_optics_rx5154.jpg,https://assets2.opsm.com/prod-onecp-record-files/pieyewear/524f84cb-313d-4c36-9d57-b35d00ca73fb/0RX5154__2000__STD__shad__qt.png?impolicy=OP_PDP,https://www.ray-ban.com/usa/eyeglasses/RX5154%20UNISEX%20clubmaster%20optics-polished%20black/805289270102,www.ray-ban.com
3,Oakley,Holbrook Low Bridge Fit OX8100F,sport square full-rim,images/03_oakley_holbrook_low_bridge_fit_ox8100f.jpg,thumbs/03_oakley_holbrook_low_bridge_fit_ox8100f.jpg,https://assets.oakley.com/is/image/OakleyEYE/888392603012__STD__shad__fr.png,https://www.oakley.com/en-us/product/W0OX8100F?variant=888392603012,www.oakley.com
4,Gentle Monster,Zin 01,minimal square,images/04_gentle_monster_zin_01.jpg,thumbs/04_gentle_monster_zin_01.jpg,https://gm-prd-resource.gentlemonster.com/catalog/product/ZYYE799SURVC/ce740893-5a4c-43c6-9f10-c3a1bcc1118c/11003137_FRONT.jpg,https://www.gentlemonster.com/kr/ja/item/ZYYE799SURVC/zin01,www.gentlemonster.com
5,Gentle Monster,Alio GD1,combination square,images/05_gentle_monster_alio_gd1.jpg,thumbs/05_gentle_monster_alio_gd1.jpg,https://gm-prd-resource.gentlemonster.com/catalog/product/194RVEG6I7XGB/e0a36042-2095-43f0-b716-0eb75d6de77e/11000251_FRONT.jpeg,https://www.gentlemonster.com/kr/ja/item/194RVEG6I7XGB/aliogd1,www.gentlemonster.com
6,Gentle Monster,Ojo 01,soft square acetate,images/06_gentle_monster_ojo_01.jpg,thumbs/06_gentle_monster_ojo_01.jpg,https://gm-prd-resource.gentlemonster.com/catalog/product/SDFZSB9VJ282/2bf28a31-906d-4fd9-a078-03e570a0e50a/11003130_FRONT.jpg,https://www.gentlemonster.com/cn/zh-CN/item/SDFZSB9VJ282/ojo01,www.gentlemonster.com
7,MOSCOT,LEMTOSH,keyhole rounded square acetate,images/07_moscot_lemtosh.jpg,thumbs/07_moscot_lemtosh.jpg,https://moscot.com/cdn/shop/files/lemtosh-color-tortoise-pos-2_3d0284ce-bd3e-4c66-84bb-49bd189f2988_grande.jpg?v=1705433402,https://moscot.com/products/lemtosh,moscot.com
8,MOSCOT,MILTZEN,round keyhole acetate,images/08_moscot_miltzen.jpg,thumbs/08_moscot_miltzen.jpg,https://moscot.com/cdn/shop/files/miltzen-color-blonde-pos-2_50104e38-c850-461d-94e0-5199d5099f70_grande.jpg?v=1715367926,https://moscot.com/products/miltzen,moscot.com
9,MOSCOT,ZEV,round metal,images/09_moscot_zev.jpg,thumbs/09_moscot_zev.jpg,https://moscot.com/cdn/shop/files/zev-color-gold-dark-green-pos-2_grande.jpg?v=1758576598,https://moscot.com/products/zev,moscot.com
10,MOSCOT,DAHVEN,bold square acetate,images/10_moscot_dahven.jpg,thumbs/10_moscot_dahven.jpg,https://moscot.com/cdn/shop/files/dahven-color-blonde-pos-2_grande.jpg?v=1699902607,https://moscot.com/products/dahven,moscot.com
11,MOSCOT,NEBB,rectangular acetate,images/11_moscot_nebb.jpg,thumbs/11_moscot_nebb.jpg,https://moscot.com/cdn/shop/files/nebb-color-navy-pos-2_grande.jpg?v=1697407466,https://moscot.com/products/nebb,moscot.com
12,MOSCOT,YONTIF,round panto acetate,images/12_moscot_yontif.jpg,thumbs/12_moscot_yontif.jpg,https://moscot.com/cdn/shop/products/yontif-color-blonde-pos-2_grande.jpg?v=1697426904,https://moscot.com/products/yontif,moscot.com
13,MOSCOT,MAYDELA,soft square acetate,images/13_moscot_maydela.jpg,thumbs/13_moscot_maydela.jpg,https://moscot.com/cdn/shop/files/maydela-color-classic-havana-pos-2_grande.jpg?v=1701727948,https://moscot.com/products/maydela,moscot.com
14,MOSCOT,ZOLMAN,round bold acetate,images/14_moscot_zolman.jpg,thumbs/14_moscot_zolman.jpg,https://moscot.com/cdn/shop/products/zolman-color-black-pos-2_grande.jpg?v=1698021535,https://moscot.com/products/zolman,moscot.com
15,MOSCOT,SHTARKER,rectangular keyhole acetate,images/15_moscot_shtarker.jpg,thumbs/15_moscot_shtarker.jpg,https://moscot.com/cdn/shop/products/shtarker-color-gold-pos-2_f9e71f38-10dd-4eb8-8e8f-c1ea09af3b53_grande.jpg?v=1691366461,https://moscot.com/products/shtarker,moscot.com
16,MOSCOT,YUKEL,browline combination,images/16_moscot_yukel.jpg,thumbs/16_moscot_yukel.jpg,https://moscot.com/cdn/shop/products/yukel-color-black-silver-pos-2_grande.jpg?v=1691367929,https://moscot.com/products/yukel,moscot.com
